time,parameter,group,analyte,value
658,Muscle,2022,PFOS,2.71
658,Muscle,2022,PFOS,2.18
658,Muscle,2022,PFOS,1.95
658,Muscle,2022,PFOS,2.09
658,Muscle,2022,PFOS,2.34
658,Serum,2022,PFOS,28.2
658,Serum,2022,PFOS,24.7
658,Serum,2022,PFOS,25.2
658,Serum,2022,PFOS,24
658,Serum,2022,PFOS,20.7
658,Muscle,2022,PFDA,4.35
658,Muscle,2022,PFDA,2.98
658,Muscle,2022,PFDA,2.82
658,Muscle,2022,PFDA,3.29
658,Muscle,2022,PFDA,3.08
658,Serum,2022,PFDA,43.9
658,Serum,2022,PFDA,33.8
658,Serum,2022,PFDA,37.9
658,Serum,2022,PFDA,33.7
658,Serum,2022,PFDA,29.6
669,Serum,2022,PFOS,32
669,Serum,2022,PFOS,22.9
669,Serum,2022,PFOS,28.5
669,Serum,2022,PFOS,32.4
669,Serum,2022,PFOS,10.8
669,Serum,2022,PFDA,48.2
669,Serum,2022,PFDA,26.6
669,Serum,2022,PFDA,34.4
669,Serum,2022,PFDA,32.6
669,Serum,2022,PFDA,16.3
696,Serum,2022,PFOS,20.2
696,Serum,2022,PFOS,17.5
696,Serum,2022,PFOS,19.5
696,Serum,2022,PFOS,21.4
696,Serum,2022,PFDA,23.6
696,Serum,2022,PFDA,18.2
696,Serum,2022,PFDA,25.6
696,Serum,2022,PFDA,24.9
738,Serum,2022,PFOS,17
738,Serum,2022,PFOS,13.6
738,Serum,2022,PFOS,16.1
738,Serum,2022,PFOS,15.8
738,Serum,2022,PFOS,14.9
738,Muscle,2022,PFOS,0.499
738,Muscle,2022,PFOS,0.428
738,Muscle,2022,PFOS,0.702
738,Muscle,2022,PFOS,0.967
738,Muscle,2022,PFOS,0.692
738,Serum,2022,PFDA,19.3
738,Serum,2022,PFDA,14.5
738,Serum,2022,PFDA,19.9
738,Serum,2022,PFDA,16.9
738,Serum,2022,PFDA,17.1
738,Muscle,2022,PFDA,0.35
738,Muscle,2022,PFDA,0.0755
738,Muscle,2022,PFDA,0.971
738,Muscle,2022,PFDA,1.23
738,Muscle,2022,PFDA,0.644
