Date,Days,Season,Temp,DMperc,DMfrac,RF,mean_water_PFOS,mean_soil_PFOS,grass_conc_PFOS,milk_conc_PFOS,mean_water_PFDA,mean_soil_PFDA,grass_conc_PFDA,milk_conc_PFDA
5/19/2020,1,Spring,21.8,20,0.2,0,0.0013,0.551,0.05,0.484989042,0,1.03,0.03,0.707867994
5/20/2020,2,Spring,20.975,20,0.2,0,0.0013,0.551,0.05,0.479423636,0,1.03,0.03,0.697865344
5/21/2020,3,Spring,24.175,20,0.2,0,0.0013,0.551,0.05,0.473932253,0,1.03,0.03,0.688019199
5/22/2020,4,Spring,28.875,20,0.2,0,0.0013,0.551,0.05,0.468514259,0,1.03,0.03,0.67832694
5/23/2020,5,Spring,27.43333333,20,0.2,0,0.0013,0.551,0.05,0.463179169,0,1.03,0.03,0.668785996
5/24/2020,6,Spring,19.63333333,20,0.2,0,0.0013,0.551,0.05,0.457911586,0,1.03,0.03,0.65939384
5/25/2020,7,Spring,18.33333333,20,0.2,0,0.0013,0.551,0.05,0.452706051,0,1.03,0.03,0.650147991
5/26/2020,8,Spring,21.1,20,0.2,0,0.0013,0.551,0.05,0.447568171,0,1.03,0.03,0.641046014
5/27/2020,9,Spring,28.225,20,0.2,0,0.0013,0.551,0.05,0.442498876,0,1.03,0.03,0.632085514
5/28/2020,10,Spring,29.8,20,0.2,0,0.0013,0.551,0.05,0.437506153,0,1.03,0.03,0.623264141
5/29/2020,11,Spring,30.125,20,0.2,0,0.0013,0.551,0.05,0.432582603,0,1.03,0.03,0.614579587
5/30/2020,12,Spring,27.4,20,0.2,0.0225,0.0013,0.551,0.05,0.427724983,0,1.03,0.03,0.606029583
5/31/2020,13,Spring,22.43333333,20,0.2,0.002222222,0.0013,0.551,0.05,0.422925295,0,1.03,0.03,0.597611903
6/1/2020,14,Summer,15.4,25,0.25,0,0.0013,0.551,0.05,0.418181005,0,1.03,0.03,0.589324357
6/2/2020,15,Summer,17.4,25,0.25,0.012222222,0.0013,0.551,0.05,0.413496875,0,1.03,0.03,0.581164796
6/3/2020,16,Summer,20.7,25,0.25,0.066666667,0.0013,0.551,0.05,0.408874885,0,1.03,0.03,0.573131109
6/4/2020,17,Summer,22.5,25,0.25,0.071111111,0.0013,0.551,0.05,0.404314428,0,1.03,0.03,0.565221222
6/5/2020,18,Summer,27.1,25,0.25,0.001,0.0013,0.551,0.05,0.399814117,0,1.03,0.03,0.557433096
6/6/2020,19,Summer,27.23333333,25,0.25,0.012222222,0.0013,0.551,0.05,0.395384063,0,1.03,0.03,0.549764731
6/7/2020,20,Summer,23.33333333,25,0.25,0.151111111,0.0013,0.551,0.05,0.391011928,0,1.03,0.03,0.542214158
6/8/2020,21,Summer,22.2,25,0.25,0,0.0013,0.551,0.05,0.386687527,0,1.03,0.03,0.534779447
6/9/2020,22,Summer,23.05,25,0.25,0,0.0013,0.551,0.05,0.382416251,0,1.03,0.03,0.527458698
6/10/2020,23,Summer,22.375,25,0.25,0,0.0013,0.551,0.05,0.378201602,0,1.03,0.03,0.520250047
6/11/2020,24,Summer,21.1,25,0.25,0.033333333,0.0013,0.551,0.05,0.374040657,0,1.03,0.03,0.513151661
6/12/2020,25,Summer,22.375,25,0.25,0.234,0.0013,0.551,0.05,0.36993366,0,1.03,0.03,0.506161739
6/13/2020,26,Summer,23.9,25,0.25,0,0.0013,0.551,0.05,0.365879836,0,1.03,0.03,0.499278513
6/14/2020,27,Summer,19.96666667,25,0.25,0,0.0013,0.551,0.05,0.361880909,0,1.03,0.03,0.492500244
6/15/2020,28,Summer,22.2,25,0.25,0,0.0013,0.551,0.05,0.357931249,0,1.03,0.03,0.485825225
6/16/2020,29,Summer,24.425,25,0.25,0,0.0013,0.551,0.05,0.354031924,0,1.03,0.03,0.479251776
6/17/2020,30,Summer,28.475,25,0.25,0,0.0013,0.551,0.05,0.350187891,0,1.03,0.03,0.472778249
6/18/2020,31,Summer,30.7,25,0.25,0,0.0013,0.551,0.05,0.346403387,0,1.03,0.03,0.466403024
6/19/2020,32,Summer,33.325,25,0.25,0,0.0013,0.551,0.05,0.342673803,0,1.03,0.03,0.460124506
6/20/2020,33,Summer,34.03333333,25,0.25,0,0.0013,0.551,0.05,0.338998523,0,1.03,0.03,0.453941133
6/21/2020,34,Summer,32.93333333,25,0.25,0,0.0013,0.551,0.05,0.335372314,0,1.03,0.03,0.447851364
6/22/2020,35,Summer,28.7,25,0.25,0,0.0013,0.551,0.05,0.331789559,0,1.03,0.03,0.44185369
