Analyte,Param,Livestock,Value,SD,CV
PFDA,PK,Cattle,0.5,0.04,0.08
PFDA,PL,Cattle,1.44,0.13,0.090277778
PFDA,PM,Cattle,0.08,0.02,0.25
PFDA,Pmilk,Cattle,0.015,0.0036,0.24
PFDA,Vd,Cattle,0.085,0.014,0.164705882
PFDA,DT50,Cattle,60.4,10.4,0.17218543
PFDA,Cgr,Cattle,0.0115,,
PFDA,MW,Cattle,640,,
PFDA,DT50_lactating,Cattle,56,13.4,0.239285714
PFOS,PK,Cattle,0.5,0.04,0.08
PFOS,PL,Cattle,1.44,0.13,0.090277778
PFOS,PM,Cattle,0.08,0.02,0.25
PFOS,DT50,Cattle,74.1,13.4,0.180836707
PFOS,Vd,Cattle,0.085,0.014,0.164705882
PFOS,MW,Cattle,640,,
PFOS,Cgr,Cattle,0.0115,,
PFOS,DT50_lactating,Cattle,56,13.4,0.239285714
PFOS,Pmilk,Cattle,0.015,0.0036,0.24
