"CAS","DTXSID","name","mw","log.kow","water.sol.mg.l","half.air.hr","half.sediment.hr","vp.pa","kp","fabs"
"67-56-1","DTXSID2021731","Methanol",32.042,-0.6059,837029.9618,272,1870,11902.569683074,0.000750971514094283,0.923824621573073
"67-56-1","DTXSID2021731","Methanol",32.042,-0.6059,837029.9618,272,1870,11902.569683074,0.000750971514094283,0.923824621573073
"57-55-6","DTXSID0021206","1,2-Propylene glycol",76.095,-0.809746,888386.2965,21.4,1870,7.162065458561,0.000221765349993267,0.883629707323875
"57-55-6","DTXSID0021206","1,2-Propylene glycol",76.095,-0.809746,888386.2965,21.4,1870,7.162065458561,0.000221765349993267,0.883629707323875
"497-19-8","DTXSID1029621","Sodium carbonate",105.988,-0.521159,187704.748,1e+05,3240,1.409004346476,0.000179763254961141,0.936430808679659
"497-19-8","DTXSID1029621","Sodium carbonate",105.988,-0.521159,187704.748,1e+05,3240,1.409004346476,0.000179763254961141,0.936430808679659
"3567-66-6","DTXSID1044562","D&C Red No. 33",467.38,2.02691,260438.1574,30.3,13000,2.350580393612e-06,5.13912603490792e-05,0.999554658901777
"3567-66-6","DTXSID1044562","D&C Red No. 33",467.38,2.02691,260438.1574,30.3,13000,2.350580393612e-06,5.13912603490792e-05,0.999554658901777
"56-81-5","DTXSID9020663","Glycerol",92.094,-1.80577,641248.68012,13.7,1870,0.01744883443603,0.000113862581332386,0.434272281324084
"56-81-5","DTXSID9020663","Glycerol",92.094,-1.80577,641248.68012,13.7,1870,0.01744883443603,0.000113862581332386,0.434272281324084
"57-13-6","DTXSID4021426","Urea",60.056,-1.81219,498831.1416,128,3240,0.007031329522927,0.00020518765436962,0.430644784821329
"57-13-6","DTXSID4021426","Urea",60.056,-1.81219,498831.1416,128,3240,0.007031329522927,0.00020518765436962,0.430644784821329
"59-02-9","DTXSID0026339","alpha-Vitamin E",430.717,9.40893,0.00331734356947,1.11,38900,3.44065091873e-05,0.00770170410754263,0.033942674567106
"59-02-9","DTXSID0026339","alpha-Vitamin E",430.717,9.40893,0.00331734356947,1.11,38900,3.44065091873e-05,0.00770170410754263,0.033942674567106
"73-40-5","DTXSID9052476","Guanine",151.129,-0.819178,1122.48797815,4.11,3240,2.251201884106e-07,7.46954994078617e-05,0.88138212511254
"73-40-5","DTXSID9052476","Guanine",151.129,-0.819178,1122.48797815,4.11,3240,2.251201884106e-07,7.46954994078617e-05,0.88138212511254
"102-71-6","DTXSID9021392","Triethanolamine",149.19,-1.04888,1002192.7764,2.32,3240,0.0012293230950252,6.78159906456768e-05,0.814186783322169
"102-71-6","DTXSID9021392","Triethanolamine",149.19,-1.04888,1002192.7764,2.32,3240,0.0012293230950252,6.78159906456768e-05,0.814186783322169
"123-94-4","DTXSID7029160","Glycerol 1-monostearate",358.563,6.11682,15.0634109115,6.78,3240,4.118915245616e-06,0.0109917340175106,0.98543642192705
"94-13-3","DTXSID4022527","Propylparaben",180.203,2.7514,731.36648971,18.2,3240,0.0006354905045023,0.0202120635520097,0.99970482079486
"94-13-3","DTXSID4022527","Propylparaben",180.203,2.7514,731.36648971,18.2,3240,0.0006354905045023,0.0202120635520097,0.99970482079486
"139-33-3","DTXSID9027073","Ethylenediaminetetraacetic acid, disodium salt",336.208,-1.707,2560.35167904,1.49,1870,3.740999598922e-10,1.80670696997339e-05,0.490734953085377
"139-33-3","DTXSID9027073","Ethylenediaminetetraacetic acid, disodium salt",336.208,-1.707,2560.35167904,1.49,1870,3.740999598922e-10,1.80670696997339e-05,0.490734953085377
"2682-20-4","DTXSID2034259","2-Methyl-3(2H)-isothiazolone",115.15,0.69808,42175.9905,9.02,3240,297.9288788135,0.00127929820742215,0.995683403694688
"2682-20-4","DTXSID2034259","2-Methyl-3(2H)-isothiazolone",115.15,0.69808,42175.9905,9.02,3240,297.9288788135,0.00127929820742215,0.995683403694688
"77-92-9","DTXSID3020332","Citric acid",192.123,-1.66079,547243.1532,36.6,1870,1.2904647430792e-06,4.03701665084203e-05,0.517320733455029
"77-92-9","DTXSID3020332","Citric acid",192.123,-1.66079,547243.1532,36.6,1870,1.2904647430792e-06,4.03701665084203e-05,0.517320733455029
"25956-17-6","DTXSID4024436","Allura Red C.I.16035",496.42,1.70468,9.60920194,36.4,13000,6.31894799644e-08,2.19254997394214e-05,0.999344891188973
"25956-17-6","DTXSID4024436","Allura Red C.I.16035",496.42,1.70468,9.60920194,36.4,13000,6.31894799644e-08,2.19254997394214e-05,0.999344891188973
"143-07-7","DTXSID5021590","Dodecanoic acid",200.322,4.59688,27.42808824,18.3,1870,0.010449902253873,0.0338542898320843,0.99930833042318
"143-07-7","DTXSID5021590","Dodecanoic acid",200.322,4.59688,27.42808824,18.3,1870,0.010449902253873,0.0338542898320843,0.99930833042318
"57-10-3","DTXSID2021602","Hexadecanoic acid",256.43,7.21478,0.10676898981,13.1,1870,4.695027957284e-05,0.0212807305269686,0.845833241833517
"57-10-3","DTXSID2021602","Hexadecanoic acid",256.43,7.21478,0.10676898981,13.1,1870,4.695027957284e-05,0.0212807305269686,0.845833241833517
"683-10-3","DTXSID6041266","1-Dodecanaminium, N-(carboxymethyl)-N,N-dimethyl-, inner salt",271.445,3.43575,5.0157335655,7.49,1870,5.196706778615e-05,0.0122528877496887,0.999709444344548
"683-10-3","DTXSID6041266","1-Dodecanaminium, N-(carboxymethyl)-N,N-dimethyl-, inner salt",271.445,3.43575,5.0157335655,7.49,1870,5.196706778615e-05,0.0122528877496887,0.999709444344548
"544-63-8","DTXSID6021666","Tetradecanoic acid",228.376,6.07967,2.182931996,15.3,1870,0.0002462957836143,0.0266844240761498,0.986594243315068
"544-63-8","DTXSID6021666","Tetradecanoic acid",228.376,6.07967,2.182931996,15.3,1870,0.0002462957836143,0.0266844240761498,0.986594243315068
"1934-21-0","DTXSID1021455","FD&C Yellow 5",534.36,0.597494,342.13360848,6.96,8100,6.619536656934e-07,9.94889964046016e-06,0.994629731448162
"1934-21-0","DTXSID1021455","FD&C Yellow 5",534.36,0.597494,342.13360848,6.96,8100,6.619536656934e-07,9.94889964046016e-06,0.994629731448162
"3844-45-9","DTXSID2020189","FD&C Blue No. 1",792.84,4.75651,54490.228236,0.171,38900,1.0179364460085e-07,5.57478670147194e-05,0.999113905778993
"3844-45-9","DTXSID2020189","FD&C Blue No. 1",792.84,4.75651,54490.228236,0.171,38900,1.0179364460085e-07,5.57478670147194e-05,0.999113905778993
"3734-33-6","DTXSID8034376","Denatonium benzoate",446.591,4.88206,2.71861378068,4.53,8100,2.861285140746e-06,0.00601626976936037,0.998902017806179
"3734-33-6","DTXSID8034376","Denatonium benzoate",446.591,4.88206,2.71861378068,4.53,8100,2.861285140746e-06,0.00601626976936037,0.998902017806179
"123-31-9","DTXSID7020716","Hydroquinone",110.112,0.837231,146738.55456,11.1,3240,0.008799744368365,0.00187759174164459,0.996794143401918
"7085-85-0","DTXSID1025279","Ethyl cyanoacrylate",125.127,0.650244,140522.62608,55.5,3240,26.60648276035,0.000970166990310984,0.995212371220504
"7085-85-0","DTXSID1025279","Ethyl cyanoacrylate",125.127,0.650244,140522.62608,55.5,3240,26.60648276035,0.000970166990310984,0.995212371220504
"64-17-5","DTXSID9020584","Ethanol",46.069,-0.27673,761152.018,78.5,1870,4704.68049832,0.000751313108955064,0.96267146525789
"64-17-5","DTXSID9020584","Ethanol",46.069,-0.27673,761152.018,78.5,1870,4704.68049832,0.000751313108955064,0.96267146525789
"1119-40-0","DTXSID3025122","Dimethyl glutarate",160.169,0.746454,68815.489667,77.8,3240,17.77694083782,0.000640639448574631,0.996110177996401
"112-34-5","DTXSID8021519","2-(2-Butoxyethoxy)ethanol",162.229,0.585319,721223.08759,3.45,1870,4.206614713758,0.000445846906544134,0.994485007806839
"79-20-9","DTXSID4021767","Methyl acetate",74.079,0.128599,124948.30851,753,3240,26378.10150628,0.000851597656001897,0.984831435716729
"79-20-9","DTXSID4021767","Methyl acetate",74.079,0.128599,124948.30851,753,3240,26378.10150628,0.000851597656001897,0.984831435716729
"627-93-0","DTXSID8025096","Dimethyl adipate",174.196,1.0361,29486.679508,30.6,3240,9.826940054359,0.000917475155449934,0.997876974851261
"627-93-0","DTXSID8025096","Dimethyl adipate",174.196,1.0361,29486.679508,30.6,3240,9.826940054359,0.000917475155449934,0.997876974851261
"106-65-0","DTXSID5025152","Dimethyl succinate",146.142,0.393454,37085.72463,183,3240,53.84997990012,0.000402187383839893,0.991585873296794
"541-02-6","DTXSID1027184","Decamethylcyclopentasiloxane",370.77,7.99093,0.019935746745,166,8100,21.96273059426,0.0103307912981809,0.47908516488121
"541-02-6","DTXSID1027184","Decamethylcyclopentasiloxane",370.77,7.99093,0.019935746745,166,8100,21.96273059426,0.0103307912981809,0.47908516488121
