"","source.type","source.id","source.description","DTXSID","CASRN","PREFERRED_NAME","variable","form","mean","cv","values","gender","min.age","max.age"
"1","Product","P.AC.010.029","arts and crafts adhesive spray","DTXSID4027028","124-38-9","Carbon dioxide","f.chemical","empirical",0,0,"0.03","B","0","99"
"2","Product","P.AC.010.029","arts and crafts adhesive spray","DTXSID4027028","124-38-9","Carbon dioxide","chem.prev","point",1,0,"0.03","B","0","99"
"3","Product","P.AC.010.029","arts and crafts adhesive spray","DTXSID0020868","75-09-2","Dichloromethane","f.chemical","empirical",0,0,"0.245","B","0","99"
"4","Product","P.AC.010.029","arts and crafts adhesive spray","DTXSID0020868","75-09-2","Dichloromethane","chem.prev","point",1,0,"0.245","B","0","99"
"5","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID9021392","102-71-6","Triethanolamine","f.chemical","empirical",0,0,"0.0055, 0.009, 0.009","B","0","99"
"6","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID9021392","102-71-6","Triethanolamine","chem.prev","point",1,0,"0.0055, 0.009, 0.009","B","0","99"
"7","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID4020240","105-60-2","Caprolactam","f.chemical","empirical",0,0,"0.03","B","0","99"
"8","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID4020240","105-60-2","Caprolactam","chem.prev","point",1,0,"0.03","B","0","99"
"9","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID7024665","106-97-8","Butane","f.chemical","empirical",0,0,"0.1127, 0.03","B","0","99"
"10","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID7024665","106-97-8","Butane","chem.prev","point",1,0,"0.1127, 0.03","B","0","99"
"11","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID8020597","107-21-1","Ethylene glycol","f.chemical","empirical",0,0,"0.05, 0.01","B","0","99"
"12","Product","P.AC.010.999","arts and crafts adhesive NOC","DTXSID8020597","107-21-1","Ethylene glycol","chem.prev","point",1,0,"0.05, 0.01","B","0","99"
